Sr_No,Date,Startup_Name,Industry_Vertical,City,Investors_Name,InvestmentnType,Amount_in_USD
1,09/01/2020,BYJU’S,E-Tech,Bangalore,Tiger Global Management,Private Equity Round,200000000.0
2,13/01/2020,Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0
3,09/01/2020,Mamaearth,E-commerce,Bangalore,Sequoia Capital India,Series B,18358860.0
4,02/01/2020,https://www.wealthbucket.in/,FinTech,New Delhi,Vinod Khatumal,Pre-series A,3000000.0
5,02/01/2020,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000.0
6,13/01/2020,Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000.0
7,10/01/2020,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000.0
8,12/12/2019,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0
9,06/12/2019,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0
10,03/12/2019,Dhruva Space,Aerospace,Bangalore,Mumbai Angels,Seed,50000000.0
11,03/12/2019,Dhruva Space,Aerospace,Bangalore,Ravikanth Reddy,Seed,50000000.0
12,13/12/2019,Rivigo,Technology,Gurgaon,SAIF Partners,Series F,20000000.0
13,13/12/2019,Rivigo,Technology,Gurgaon,Spring Canter Investment Ltd.,Series F,20000000.0
14,17/12/2019,Healthians,B2B-focused foodtech startup,Bangalore,Paytm,Series C,12000000.0
15,17/12/2019,Healthians,B2B-focused foodtech startup,Bangalore,NPTK,Series C,12000000.0
16,17/12/2019,Healthians,B2B-focused foodtech startup,Bangalore,Sabre Partners  Neoplux,Series C,12000000.0
17,16/12/2019,Licious,E-Commerce,Bangalore,Vertex Growth Fund,Series E,30000000.0
18,14/12/2019,Trell,Video,Bangalore,Ruizheng Investment,Seed Round,2000000.0
19,11/12/2019,Rein Games,Gaming,Noida,Manipal Education  Medical Group (MEMG),Seed Round,50000000.0
20,20/12/2019,Lenskart.com,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,231000000.0
21,13/11/2019,Freshworks,Software,San Francisco,Sequoia,Series H,150000000.0
22,13/11/2019,Freshworks,Software,San Francisco,CapitalG,Series H,150000000.0
23,13/11/2019,Freshworks,Software,San Francisco,Accel,Series H,150000000.0
24,14/11/2019,Misters,Health and wellness,Gurgaon,Sauce.vc,Series B,486000.0
25,14/11/2019,Misters,Health and wellness,Gurgaon,Rainforest Ventures,Series B,486000.0
26,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,Prime Venture Partners,Seed,1500000.0
27,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,LetsVenture,Seed,1500000.0
28,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,PS1 Venture  GlobalLogic co-founder Rajul Garg,Seed,1500000.0
29,17/11/2019,Burger Singh,Food and Beverage,Gurgaon,RB Investments,Venture,0.0
30,18/11/2019,Healthians,Health and Wellness,Gurgaon,DG Daiwa Ventures,Series B,12000000.0
31,18/11/2019,Healthians,Health and Wellness,Gurgaon,DG Incubation,Series B,12000000.0
32,15/11/2019,Ninjacart,B2B Marketing,Bangalore,Trifecta Capital Advisors,Debt Funding,26000000.0
33,20/11/2019,Aye Finance,FinTech,Gurgaon,FinTech,Debt Funding,17411265.0
34,12/11/2019,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,1300000.0
35,20/11/2019,Clumio,SaaS,San Jose,Altimeter Capital,Series C,135000000.0
36,20/11/2019,Clumio,SaaS,San Jose,Sutter Hill Ventures,Series C,135000000.0
37,11/11/2019,eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,300000.0
38,19/11/2019,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,220000000.0
